title,body,impact,urgency,priority
Missing tooltip to help user on creating service,"We need to add the tooltip for some fields, for reference, you can access the moqups and table under this document: ePortal 1.6 Common (Intranet) section 4.4.1

 

!image-2019-01-09-12-21-03-294.png!

!image-2019-01-09-12-19-24-878.png!",3,3,3
Missing validation for email on Application Service creation,"There is no validation for contact email field when creating the eAPplication

!image-2019-01-07-13-04-58-297.png!",3,3,3
Mobile no validation,"Mobile no and other mobile no fields cannot have the same number

!image-2019-02-15-13-34-18-797.png!

Also, the user should be able to select the default value of the other contact no country code

!image-2019-02-15-13-36-52-517.png!",3,3,3
Move the Loader Icon to the bottom part of the Form,"Please put the loader in the centre of the screen instead of the form 

!image-2019-05-14-15-25-53-020.png|width=866,height=448!",3,3,3
Move the clear button inside the advanced search like the other module,"Since there is a change in Xbase and to make it consistent. please move the clear button to the inside of the advanced search

!image-2019-01-07-15-43-08-113.png!",3,3,3
My Application - Wrong Default Page,"!image-2019-01-30-19-10-29-031.png!

Test Case ID: NEA OSS eApplication Search 

Default application status I was routed to is ""Draft"", instead of ""In Progress""",2,2,2
My Applications: Missing action buttons,but able to click to view.,2,3,3
My Document - Pagination Error,"Able to select next page even though it is page 0

!image-2019-04-22-19-40-08-389.png!",3,3,3
My NEA Menu Shows Up for Non-Login User,"There shouldn't be My NEA Menu when user have not login

!image-2019-01-22-19-35-58-743.png!",2,2,2
My Notifications error alert message,"Upon opening 'My Notifications', receive this error message. Is this expected?

!image-2019-01-09-22-02-07-727.png!",2,3,3
My Payments - Add border space for mobile/tablet browsers ,"*Reporter:* Annicia, ITD

*Description:*

*Assignee: %Aditya%

**On mobile browsers, there is no border space for My Payments module. ",3,3,3
My Pending Actions Issues,See attached screenshots.,1,1,1
My Profile page leads to 404,"Pls refer to the attached. 

!image-2019-01-10-19-10-30-639.png|thumbnail!",2,3,3
My Submission,"!image-2019-01-30-19-18-58-367.png!

1. Test Case ID: NEA OSS eApplication Mobile Search
2. Showing more than 3 application cards",3,3,3
My Submission Filter Criteria,"!image-2019-01-30-19-40-50-103.png!

1. Filtering criteria should include Year and Application Service Nam

2. AskJamie bar is ""floating"" in the filter page
3. Once search completed, the filter page should be ""auto-close"" and show the search result on the parent page.",2,3,3
NEA & Gov logo not hyperlinked correctly,"Noticed that the logos on the header are not linked to the sites correctly. Please note that the logo should direct to homepage, and the gov logo should be [https://www.gov.sg|https://www.gov.sg./]

!image-2019-01-09-21-48-13-113.png!",3,3,3
NEA Logo Do not redirect user to the Homepage,!image-2019-01-16-12-41-36-945.png!,3,3,3
NEA Mass Exhumation Programme - Inbox notification not show,"After submitting application, the submission notification not show in NEA ePortal Inbox

!image-2019-03-22-17-50-33-895.png|thumbnail!",3,3,3
NEA User ID Error Message,"Instead of having a double message like this, can we override the default warning with the error message?

!image-2019-01-11-19-16-56-278.png!",3,3,3
NIL value for building name under Parent Registered Address,"For application type is ""Still Birth"", when retrieving standard parent registered address by postal code, the building name field is displayed as ""NIL"".

NIL should not be a valid value for Building name, based on ePortal 1.4 Common FS, Building Name is not mandatory, thus empty value is allowed. 

!Still Birth - Building Name.JPG!",1,2,2
Naming Form Field,"It should be *Death Certification No.*

!image-2019-01-17-11-04-55-030.png!",3,3,3
Naming for Date,"Date name supposed to change following the button that clicked.
If choose cremation, then Cremation Date.

If choose Burial, then Burial Date

!date cremation and burial.gif!",3,3,3
Naming for Field,!image-2019-01-18-14-28-40-198.png!,3,3,3
Naming for Heading,"It should be *Personal Information*

!image-2019-01-17-10-27-52-005.png!",3,3,3
Naming for Title,"Form title should follow the document:

*Application for Permission to Retain Corpse for a Period Exceeding 7 Days*

!image-2019-01-18-14-11-05-126.png!

!image-2019-01-18-14-10-52-066.png!",3,3,3
Need Error Message on Form Declaration,"""Please check the box to declare""

!image-2019-01-16-12-05-32-960.png!",3,3,3
Need a remove button to remove uploaded file,"I think we need to add a button to remove uploaded file

!image-2019-01-04-16-24-51-072.png!",3,3,3
"Need to Add ""Created Date"" Column","Please add the column here

!image-2019-01-30-17-38-41-590.png!",3,3,3
Need to Add Delete Button for Expired Content,"The delete function is a *Soft Delete* function

!image-2019-01-24-20-18-05-939.png!",2,2,2
Need to Add Some Space on Profile Management,"Currently, the fields look like this. I guess we need to add space on the left and right of the field

!image-2019-01-23-12-02-09-508.png!",3,3,3
Need to Change the Login Page,"Need to change the following page to the new design

!image-2019-01-17-17-48-19-369.png!",3,3,3
Need to add country code on Custom Account Creation,!image-2019-01-11-19-23-56-152.png!,3,3,3
Never Disappear Alert,!image-2019-01-16-15-26-29-450.png!,3,3,3
Never Disappear Confirmation Message,"[~eldwin] told me that this message supposed to disappear after several seconds. Please confirm with him

!image-2019-01-14-11-24-10-504.png!",3,3,3
Never Expired Maintenance Message,"I saw this on the intranet

 

!image-2019-01-23-11-41-59-700.png!

 

It should be expired by now, but somehow the message still on the internet

!image-2019-01-23-11-43-01-627.png!

 ",2,3,3
"Newly created ""Job"" not listed on the listing page","Hi all,

Found a bug while testing create new cron job.
Able to create a new job, however not reflected on the listing page
https://docs.google.com/spreadsheets/d/1lYo_p5OUhlnCMF7gnM6hGigPGG0SRpscdtwx8ZZwvAI/edit?usp=sharing
Refer to tab cron job no. 2 step 5

Thanks",2,1,1
Next Of Kin - validation on NRIC/FIN/Passport,"based on FS, the field is for NRIC/FIN/Passport.

but the validation is only for NRIC and FIN. Passport is not allowed here.

Error message also indicating the same

!NOK_Passport.png!",3,3,3
Next Run Time on Edit Page is Not Disabled,"The day before today must be disabled

!image-2019-01-15-19-15-25-675.png!",3,3,3
Next of Kin - country list issue,"for Next of Kin Details, when trying to choose/enter Country/Region for non standard registered address
 # if selecting ""I am NOK"", after entering search text for Country/Region, the whole country list is expanding but not navigated to the corresponding selection (e.g. type Singapore, the list still shows from top without anything being selected)
 # if not selecting ""I am NOK"", the country list seems working fine

!non standard address - Country.JPG!",2,2,2
Niches – Standard with no burning facilities - FW: [ePortal] Testing with OneILS on Wave 1 Services,"Submission Date : 02 Jan 2020
Service : Niches – Standard with no burning facilities
Application No: -
Payment: -
Testing Status: Failed
Remarks/Issues:

It will be frustrating for MOP to know which niche available for booking. There must be some means to tell MOP which niches available.
 !unnamed (3).jpg|thumbnail! ",3,3,3
No Captcha for custom login registration ,-,2,2,2
No Error Message Under Category on Create Service Health check Module,"I try to create a service without selecting a category, the creation failed but there is no error message on the category field

!image-2019-01-14-11-20-28-653.png!",3,3,3
No Error Message on Value Field,!image-2019-01-17-15-44-15-631.png!,3,3,3
No Last Login Info in Internet,-,3,3,3
No SMS notification for application,"Did not receive any SMS notification from ePortal when application was submitted, approved, rejected etc.

Please check on this urgently.",2,3,3
No X button to clear quick search in Scope Listing,See attached screenshot.,3,3,3
No alert message prompt for unauthorized application ID,"If user A try to load user B's application GUID, a blank page will be shown without an alert message. Please fix to have the alert message prompt.

 

User B: S3100004A - Cheng Qi Fa

!image-2019-05-15-13-13-36-185.png!

 

User A: S3100003C - DEWANARA VANASAMIN

!image-2019-05-15-13-15-52-511.png!

 ",2,2,2
No auto retrieve of address from OneMap,"CBPD: Building Plan Consultation Request

 

No auto retrieve of address from OneMap when postal code is entered as well as there is no button to click to retrieve the address. This happens when MyInfo is down.

 

!image-2019-01-30-19-58-37-958.png!

 ",3,3,3
No back button to Scope Listing,See attached screenshot.,3,3,3
No border space when minimize application form,"No border space when minimize application form, especially the left border. 

+Minimize form+

!image-2019-01-30-19-03-17-619.png!

 

+Maximize form+

!image-2019-01-30-19-01-25-042.png!

 ",3,3,3
No breadcrumb,"From menu, select eServices and click on any service, there is no breadcrumb Home / eServices 

and based on DSS policy, breadcrumb to be XXX / XXX and not XXX > XXX",3,3,3
No confirmation prompt when deleting item,There should be a confirmation message (pop-up?) when the user tries to delete an item.,2,3,3
No data shown for recent login user,I have a few different users login but no data shown.,2,2,2
No e- Addition of cremated remains - Error message when the field empty,"This can be found at page 2 when I am the requestor = No

!image-2019-03-20-22-55-47-276.png!",3,3,3
No field validation,"Eg: for contact number, it is always numeric. But allows alphanumeric",3,3,3
No mandatory validation for Name field,"See attached screenshot.

This is not tally to test script whereby Name is mandatory field.",3,3,3
No notification after submission,"There is no notification after submit form.

This happened for CorpPass login.",3,3,3
No numeric validation for user name,Test script state there is numeric validation for user name.,3,3,3
No one will know the quick search only based on Category Name,See attached screenshot.,3,3,3
No services loaded under Pollution Control category,See attached screenshots.,1,2,2
No tool-tip displayed,See attached screenshot.,3,3,3
No tooltip for icon and no deletion confirmation,!image-2019-01-16-15-29-12-566.png!,3,3,3
No tooltip upon hovering over an icon,"The system needs to show a tooltip containing the button name upon highlight on the icon

!image-2019-01-04-16-05-26-870.png!",3,3,3
No validation message for validation of LOA,"There is no validation message if the LOA application reference number is not valid due to  application status is Cancelled.

 

+*Expected Result*+

If validate fail, show something like ""Invalid LOA reference number"".

!image-2019-06-03-18-57-52-606.png!",3,3,3
No validation of other contact number,"No validation of other contact number when country code is +65 and contact number exceed 8 digits. There is no validation when clicked Next.

 

!image-2019-01-30-20-44-10-645.png!

 

 ",3,3,3
No validation on UEN field,"CBPD: Building Plan Consultant Request

Section: Contractor Information

 

Test case mentioned to type wrong format (all alphabets) for UEN. Beside length validation, there is no UEN format validation in the form.

 

+UEN length validation+

!image-2019-02-10-12-41-27-236.png|width=727,height=676!

 

+UEN format validation+

!image-2019-02-10-12-39-40-544.png|width=750,height=597!",3,3,3
No verification of NRIC against SingPass Login when MyInfo down,"No verification of NRIC against SingPass Login ID when MyInfo is down and the NRIC entered passed the NRIC validation.

 

!image-2019-01-30-21-00-29-080.png|width=660,height=450!",3,3,3
Not Specific Enough Search,"We need more specific search function (e.g. search for Description column)

!image-2019-01-10-15-57-03-419.png|thumbnail!",3,3,3
Not able to click arrow in Active NEA USER when login as system administrator,"Hi all,

Please refer to the tab ""*Login  & Dashboard*""
No. 2 Steps 6
https://docs.google.com/spreadsheets/d/1lYo_p5OUhlnCMF7gnM6hGigPGG0SRpscdtwx8ZZwvAI/edit?usp=sharing

Thanks

",3,3,3
Not able to return when do not want to continue applying service,"When click on any service and decide not to continue to apply, there is no way to go back",3,3,3
Not able to submit form,Cannot submit the form,1,1,1
Not specific error message,"Upon creating a category, I try to upload an incorrect file format for category. (I upload .png instead of .pdf). Instead of getting an error message under the field. The error message showed on the top, the message also not general enough for the user to understand the error

!image-2019-01-07-16-51-38-654.png!",3,3,3
Notification - No Data,"!image-2019-01-30-18-48-16-292.png!

Test Case: NEA_OSS_Inbox_Notification

Click to View All, show error, Fetch Data Failed
",3,3,3
Notification - Notification Page not appear,"Hi,

When i click the ""See all notification"", the blank page was appeared instead of notification page.

!image-2019-02-14-17-55-11-271.png|width=354,height=192!",1,2,2
Notification Content for Approval is Wrong,"This is the notification that i receive

!image-2019-01-07-18-43-58-443.png!

 

This is what it should look like

!image-2019-01-07-18-44-36-722.png!",3,3,3
Notification Message Box in Intranet,Implement close function for the notification alert message in both Internet and Intranet,2,3,3
Notification Module on Internet Not Working,!image-2019-01-17-18-51-54-735.png!,2,3,3
Notification Token for ePortalShortURL,Please bind $ePortalShortURL to appointment SMS notifications,3,3,3
Notification UI seems not right,"It Seems very weird to have a gap here, please make it align

!image-2019-01-23-16-07-44-399.png!",3,3,3
Number is missing in Pending Payment under My dashboard,"if there is no pending payment, should show zero",3,3,3
Number of Application on Internet and Intranet is not Match,"The number of Application at Intranet is the following

!image-2019-01-15-12-28-45-796.png!

Meanwhile, the number of application at the internet is the following

!image-2019-01-15-12-29-42-353.png!",3,3,3
Occupy the space for the dashboard component,Expand the component to occupy the spaces  !2019-01-14 18_54_59-Portal Title Header.png!,3,3,3
OneMap - Unable to populate postal code,"Clicking 'Retrieve' does not show populate any data from OneMap. Also, inline error message does not show when inputting the wrong postal code as well.

Please see screenshots of the error in console

!image-2019-04-11-11-21-14-770.png!

!image-2019-04-11-11-23-58-369.png!

 ",3,3,3
Onsite Location Can be Edited on Bulk Appointment,"I'm able to create an appointment using this data, meanwhile the location is an onsite which is not supposed to be not editable

!https://lh3.googleusercontent.com/-y6LT3S0uApo/XPnkycP8wBI/AAAAAAAAWYE/8jRksDAeu40ryJz2aBkJrBa39MYu6FVpACK8BGAs/s512/2019-06-06.png|width=563,height=22!",1,2,2
Operational User_3PND is unable to view all 3PND services,"Please refer to user issue here

!image-2019-09-05-22-00-20-543.png!",2,2,2
Order announcement by the latest date,"Order announcement by lastest date in internet portal. 

 

!image-2019-01-30-18-48-02-370.png!",3,3,3
Other Contact not mandatory,"This should be not mandatory

!image-2019-01-23-12-05-33-198.png!",3,3,3
Others field didn't show,"It supposed to have text field when select Others in ""Source of cremated remains""

!image-2019-01-14-14-54-11-431.png!",3,3,3
Overlapping of wording and alignment in outbound document ,"Overlapping of wording and alignment in outbound document. Please fix.

 

!image-2019-07-02-23-04-22-979.png!",3,3,3
Overwhelming Error Message,"No need to many of error message, for creation or form can use the error message under the field. No Need the top one

!image-2019-01-07-16-33-00-013.png!",3,3,3
PCD-28 - Email button is not working,"After clicking email button, there is a pop-up message appeared. However, there is no email being sent after clicking OK.

 

Test case (step 19): [https://docs.google.com/spreadsheets/d/1iooeGAW76On_TYG5Q8cYfP2UKMplqA6JbpyKnd9iJV0/edit#gid=914559098]

 

Thank you.",3,3,3
PCD-28 - Inline Error Messages,"The inline messages shown in the actual form are different from the test case:
 * *Other Contact No.*
Test case: Please enter a valid Other Contact no
Form: Please enter a valid Other Contact No. (Maximum digit number is 16)
 * *Builder Mobile Number*
Test case: Please enter a valid Mobile Number (8-16 digit numbers)
Form: Please enter a valid Builder Mobile Number (Maximum digit numbers is 16)
 * *Developer Mobile Number*
Test case: Please enter a valid Mobile Number (8-16 digit numbers)
Form: Please enter a valid Developer Mobile Number (Maximum digit number is 16)

 

Test case: [https://docs.google.com/spreadsheets/d/1iooeGAW76On_TYG5Q8cYfP2UKMplqA6JbpyKnd9iJV0/edit#gid=914559098]

 

Thank you.",3,3,3
PCD-9 - Declaration Message,"There is no declaration message showing in the confirmation page. User can submit the form without checking any declaration message.

 

Test case (step 23): [https://docs.google.com/spreadsheets/d/1iooeGAW76On_TYG5Q8cYfP2UKMplqA6JbpyKnd9iJV0/edit#gid=274911133]

 

Thank you.",3,3,3
PCD-9 - Email button is not working,"After clicking on the email button, there is a pop-up message appeared. However, there is no email being sent.

 

Test case (step 26): [https://docs.google.com/spreadsheets/d/1iooeGAW76On_TYG5Q8cYfP2UKMplqA6JbpyKnd9iJV0/edit#gid=274911133]

 

Thank you.",3,3,3
PCD-9 - Inline Error Messages,"The inline messages shown in the actual form are different from the test case:
 * *Organisation Name*
Test case: Please enter a valid Organisation Name (Maximum character limit is 50)
Form: non-editable and no error message shown.
 * *UEN*
Test case: Please enter a valid UEN (Maximum character limit is 10)
Form: non-editable and no error message shown.
 * *Postal Code*
Test case: Please enter a valid Postal Code
Form: non-editable and no error message shown.
 * *Block/House No*
Test case: Please enter a valid Block/House No
Form: non-editable and no error message shown.
 * *Street Name*
Test case: Please enter a valid Street Name
Form: non-editable and no error message shown.
 * *Salutation and Name*
Test case: Please enter a valid Name (Maximum character limit is 66)
Form: Name is required and not allowed to contain numerical value.
 * *Mobile No.*
Test case: Please enter a valid Mobile No.
Form: Please enter a valid Singapore Mobile No.
 * *Email Address*
Test case: Please enter a valid Email Address (Maximum character limit is 350)
Form: Please enter a valid Email Address.
 * *Other Contact No.*
Test case: Please enter a valid Other Contact no
Form: Please enter a valid Other Contact No. (Maximum character limit is 12)
 * *Postal Code (step 6)*
Test case: Please enter a valid Postal Code
Form: no inline error message appeared after clicking Next button without filling in any fields.
 * *Postal Code (step 7)*
Test case: Please enter a valid 6 digits postal code
Form; Please enter a valid Singapore Postal Code
 * *Exemption Request Period (Start)* (step 20)*
Test case: Exemption Request Period (Start) should be more than 1 month after submission date
Form: no error message appeared
 * *Exemption Request Period (End)* (step 20)*
Test case: Exemption Request Period (End) should be less than 6 months after submission date
Form: no error message appeared

 

Test case: [https://docs.google.com/spreadsheets/d/1iooeGAW76On_TYG5Q8cYfP2UKMplqA6JbpyKnd9iJV0/edit#gid=274911133]

 

Thank you.",3,3,3
PCD-9 - Land Lot No Inline Error Message,"In the test case, when user input ""A40"" in the Land Lot No, the error message should be appeared after clicking on Next button; ""Please enter the Land Lot No. (Maximum character limit is 25)"". However, in the actual form, there is no error message appeared.

 

Test case (step 13): [https://docs.google.com/spreadsheets/d/1iooeGAW76On_TYG5Q8cYfP2UKMplqA6JbpyKnd9iJV0/edit#gid=274911133]

 

Thank you.",3,3,3
PCD-9 - Project Period (Start) Validation,"In the test case, user will will not be able to select previous current date because it will be showed disable. However, in the actual form the previous current date can be selected.

 

Test case (step 12): [https://docs.google.com/spreadsheets/d/1iooeGAW76On_TYG5Q8cYfP2UKMplqA6JbpyKnd9iJV0/edit#gid=274911133]

 

Thank you.",3,3,3
Page Filtered by Service Category,"Hi,

The page filtered by Service Category is not working.

When clicking on the 'View All"" under the announcement section beside the service list after Select ""After Death"" under categories section, User will be redirected to the ""what's new"" list page filtered by service category = after death. However, the filter is not working properly.

 

Thank you.",3,3,3
Page URL should not contain GUID,"Instead of showing GUID, can we put the page title inside there instead?

!image-2019-05-08-20-41-05-665.png!

Announcements (Example) 

[http://internet.neaoss.xtrdev.info/#/announcementdetail?id=4bbc14fb-a13b-4056-93b2-d8b8a14adce5]

change to

[http://internet.neaoss.xtrdev.info/#/announcements/not-just-a-landfill-but-full-of-life|http://internet.neaoss.xtrdev.info/#/announcementdetail?id=4bbc14fb-a13b-4056-93b2-d8b8a14adce5]

 

Service Category (Example)

[http://internet.neaoss.xtrdev.info/#/category?id=eee32ae5-3d04-49cb-972a-0dc4e87d819c]

change to

[http://internet.neaoss.xtrdev.info/#/category/building-plan|http://internet.neaoss.xtrdev.info/#/category?id=eee32ae5-3d04-49cb-972a-0dc4e87d819c]

!image-2019-05-08-20-43-03-827.png!",3,3,3
Page without header,"Missing top menu if access directly from ""Service List"" or ""Application List"".

 

!image-2019-01-14-19-05-38-699.png!

!image-2019-01-14-19-05-57-121.png!",3,3,3
Pagination data display wrongly,"First, my select all status and I am at page 2.

After that, I select Pending Approval Status which only return 1 record, the pagination data display wrongly.",3,3,3
Pagination function not working,"The jump to function is not working

!image-2019-01-04-15-55-38-344.png!",3,3,3
Partial Payment to allow more than max value,To allow value more than max amount.,1,2,2
"Passed SLA time should be only for ""In Progress"" status",-,3,3,3
Pay for Someone No Result Message,"This message should not show up if the MOP has not to search for anything. Currently, after I click on pay for someone, this message appears directly

!image-2019-04-03-19-02-46-816.png!",3,3,3
Pay for Someone cannot retrieve dues,-,1,2,2
Pending Action (Internet) - Follow Up leads to 404,"After clicking follow up, then it leads to error page. Pls check.

!image-2019-04-11-14-27-41-072.png!",2,1,1
Pending Action (Internet) - No email notification when pending action is created for MOP,"Upon creating a pending action item for user (S3100003C), it appears on the 'Pending' tab but no email notification was received for this.

 ",3,3,3
Pending Action (Internet) - Search function incorrect,"As per test case, I tried to search for 'Request' in the Pending Action tab. 

!image-2019-04-11-14-22-48-946.png|width=662,height=372!

!image-2019-04-11-14-23-12-386.png|width=657,height=369!",3,3,3
Pending Action - Content wrong,"Pending action will not be auto populated after browsing, this should be under 'Favourites'

Please amend it to ""Oh no, there's nothing here!"" only. 

!screencapture-eportal-stg-nea-gov-sg-dashboard-2019-04-24-16_28_13.png!",3,3,3
Pending Action Acknowledgement Page is Broken,!image-2019-04-03-22-43-17-441.png!,3,3,3
Pending Action Missing Validation,"Missing validation for Reference No, Customer ID (UEN/NRIC/FIN) validation, and Mobile No validation

!image-2019-04-03-22-21-07-881.png!",3,3,3
Pending Cancellation Application Cannot Be Approved,"I try to approve pending cancellation application but there is no button to approve

 

!image-2019-01-31-19-56-24-863.png!",1,1,1
Permission to Retain Corpse for a Period Exceeding 7 Days - No Suggested service was apprear,"Hi,

After i type Permission to Retain Corpse for a Period Exceeding 7 Days or Retain or Corpse, no service was suggested to me :

!image-2019-02-22-11-49-46-879.png|width=412,height=223!

~Rajadi",3,3,3
Permission to Retain Corpse for more than 7 days service missing in ePortal Internet,Permission to Retain Corpse for more than 7 days service missing in ePortal Internet,1,1,1
Permit to Bury - Incorrect Service Title,"*Reporter:* Shan Jun

*Env :* STG

*Device :* Mobile ** 

*Details:*

**Missing word ""Body"" on the title

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.1&permmsgid=msg-f:1647711579459360944&th=16ddd8f399f918b0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ-Q3YkqjLVyETGwtpILyy41iCsx2p82_UTyIcejHvG7QlpIMPpMG_v0WMRTCUnR1G3VdzesVb-6BB8mGUu6jh0tOSfR0l7YoxEMuS98-fT_diUyS_-Lza5CXGg&disp=emb|width=385,height=1222!",3,3,3
Permit to Bury and Cremate - Deceased Details - Missing validation under date of death,"*Reporter:* Shan Jun ** 

*Env:* STG

*Device:* Mobile

*Details:* 

Date of death mandatory checking is missing

!https://mail.google.com/mail/u/0?ui=2&ik=a6be244e97&attid=0.2&permmsgid=msg-f:1647711579459360944&th=16ddd8f399f918b0&view=fimg&sz=s0-l75-ft&attbid=ANGjdJ_NUC6NtZbZ27LiMKcJ_3WdLgao6xO4VRwrn-HVTU-3XdtuA_AGEJfeRXYIC82mDhfdg466ie57KPTnb_Lolpno9JOyGB0DP6e9uj_Y2e1OOxq_91-MPTwc0qc&disp=emb|width=431,height=835!",3,3,3
Permit to Carry Out Quieter Works - Errors,"# The following links leads to 404

[https://www.eportal-stg.nea.gov.sg/assets/files/pcd/sitemap.jpg]

[https://www.eportal-stg.nea.gov.sg/assets/files/pcd/notification-letter-template-draft.jpg]

2. Under Contact, the field is empty but it should be ""Are you the person in charge"" with the answer there

!image-2019-04-22-19-09-32-655.png!",3,3,3
Permit to Carry Out Quieter Works - No error validation for Building Name,"Clicked 'Next', and saw no inline error message. 

3rd page, Project Details

!image-2019-05-08-16-54-32-542.png!",3,3,3
Permit to Erect Monument/Tombstone - Erros,"# Praying end date is max 30 days after praying start date
 # Length, width and height should only allow numeric values 

!image-2019-04-22-19-26-17-992.png!",3,3,3
Permit to Erect Monument/Tombstone - LOVs Missing,"For Christian (PR) and Christian (RC), the LOVs for the Block No. is missing. 

Refer to OSSUAT-544 for a similar issue reported for Add/Update NOK, but that one is already resolved.

!image-2019-05-07-21-00-18-719.png!",3,3,3
Permit to Erect Tombstone Form - Error in Country/Region field on Requestor Information page,"After clicking next without filling any field, Country/Region field color doesn't change to red. 

!image-2019-02-20-11-14-15-566.png!",3,3,3
Permit to Erect Tombstone Form - Error in Mobile No and Other Contact No on Requestor Information Page,"After filling Mobile No and Other Contact No. with invalid Singapore Mobile No. fields not showing inline error messages

!image-2019-02-20-11-15-10-054.png!",3,3,3
Permit to Erect a Tombstone or Monument service in ePortal Internet,"When Save as Draft, saw Fetch Data Failed error",1,1,1
Permit to Erect a Tombstone or Monument service in ePortal Internet,"When indicate no LOA reference number, besides asking for upload of applicant NRIC / Non-SG passport, also need to upload LOA
Also not able to upload files",1,1,1
Permit to Erect a Tombstone or Monument service in ePortal Internet,"After agree to NEA T&C, when click submit, cannot go acknowledgment page.",1,1,1
Permit to Erect a Tombstone or Monument service in ePortal Internet,"After coming back from save draft, the attached error was encountered which is incorrect and when click on next, error disappear.",2,2,2
Permit to Erect a Tombstone or Monument service in ePortal Internet,Allow submission of invalid NRIC and able to click through to next page,1,2,2
Place NEA logo in the center of the downloaded attachment,To change placement of the NEA logo from top left to centre,3,3,3
Placeholder text should be greyed out,"How come the placeholder text is so dark? Looks like I've typed something..

!image-2019-01-16-18-40-21-383.png!",3,3,3
Please change the Reference Number to Reference No,!image-2019-04-03-19-30-08-945.png!,3,3,3
Please help fix the slicing for this Pagination,"Somehow the UI is not really good if the page number is more than 2 digits

!image-2019-04-01-21-58-39-565.png!",3,3,3
Please limit the Image Dimension for Service Category Icon,!image-2019-01-15-19-09-45-826.png!,3,3,3
Please make the resource name as an unique fields,"Currently we allow duplicate names for appointment resource, please change the behaviour so all resource have a unique name",3,2,2
Please provide the eAppointment Internet,!image-2019-04-10-19-34-05-781.png!,1,1,1
Pop-up message not sync with other screen,See attached screenshots.,3,3,3
Pop-up message not unify,See attached screenshots.,3,3,3
Port of Call Validation Not Working Correctly,"Login Type: SingPass

System throw error at Last Port of Call when Next Port of Call entered is Singapore and via versa.

 

!image-2019-10-17-17-33-09-376.png!",2,3,3
Postal Code Bug,"See the attached gif, this one is quieter work form. Somehow, at the page where there is a postal code, you can bypass the page by filling the postal code only then click next.

Please fix this

  !image-2019-03-05-12-36-36-937.png!",2,1,1
Postal Code Retrieve,Postal Code Must be 6 character to be retrieved.,3,3,3
Prev and Next buttons not working in User Listing,See attached screenshot.,3,3,3
Prevent MOP to create multiple draft,-,3,3,3
Production log files are consuming large disk space,"*Reporter:* Annicia, ITD

*Details:*

It was reported that the log files are taking up 70GB in the 100GB drive. To check how to reduce the size and provide findings

.",3,3,3
Profile Module Still Not Working,-,1,1,1
Profile should not have an indicator that it is clickable,!image-2019-01-28-16-36-52-627.png!,3,3,3
Provide Header for All of the Module,"Please provide this header for all of the module

!image-2019-01-10-14-46-41-266.png!",3,2,2
Provide Sample Notification,"Please provide the sample notifications also it looks like the ""See All Notifications""It's not working

!image-2019-01-23-16-09-12-303.png!",3,3,3
Provide the Error page for Non Exist Account,"Please provide the error page for a user that tries to log in using a user-account that not exist on ePortal. Currently, the page looks like this. Can we show a custom error message like !image-2019-07-25-12-00-11-833.png|width=860,height=531! ""You have no access to ePortal Intranet""? ",3,3,3
Provide the Instruction by using tooltip icon on user creation,"Create New User - Role have this kind of note. Should put it inside a tooltip icon

!image-2019-01-09-18-17-43-568.png!",3,3,3
Provide the Internet Page for eAppointment,!image-2019-04-03-18-03-52-537.png!,1,2,2
Provide the List of Appointment Transactions Report,"For this one, I think can redirect to the Appointment list

!image-2019-06-18-19-24-00-939.png|width=528,height=295!",1,1,1
Provide the Notification for eDocument,"For the process flow, you can refer to this picture. (more details at ePortal 1.4 common (system) Section 6.3

!image-2019-06-25-12-08-24-815.png|width=549,height=339!

For the configuration *code.type* you can refer to Annex A, eDocument (D)

[https://drive.google.com/drive/folders/1UuCaDrLqFRZR00s961ETQjFiSAGan6Ru]",3,3,3
Provide the Pending Action Follow Up Appointment,Please complete the form for follow up appointment,3,3,3
Provide the eAppointment Menu redirection,!image-2019-04-02-13-55-41-664.png!,3,3,3
Published Content Can be Edited,"Published content should not be edited. Instead, The system must allow the user to take it down.",1,1,1
Published Subcategory can't be removed,The status became expired instead of get deleted which is not according to test script.,3,3,3
Quality Issues,See Screen Shot attached.  CBPD service but 'Guide me thru process' links to After Death! This truely indicates that Xtremax did not do quality checks.  Pls review all services and ensure correct guide is given and pls do the needful quality check b4 handing over to NEA for pre-UAT.,3,3,3
Quality Issues - Typos ,See screen shot attached.  Pls correct the typos.  This shows that Xtremax had not done Quality Checks before handing over to NEA for Pre-UAT! Pls do quality checks for all affected screens. ,3,3,3
Quick Links not aligned properly,"Browser: IE

Screen resolution: 1920 x 1080

Scale and Layout: 125%

I zoomed in 125% on IE, and see that the icons are misaligned.

!image-2019-03-06-22-59-48-121.png|thumbnail!",3,3,3
Quieter Works - Incomplete Annex A," There should be more than these fields

!image-2019-03-01-12-39-06-287.png!

Please refer to FS for the full list [https://drive.google.com/drive/folders/1FVdebZNZscFUCfbVJlGFrZElwowYLlNb] ",2,2,2
Quieter Works Form - All information filled by user not show in confirmation page,"Should be all information that has been filled by user shown in Confirmation page

!image-2019-02-20-10-58-28-385.png!",1,1,1
Quieter Works Form - Error directed page,"If there is a blank mandatory field left in a page, user should be cannot go to the next page before completing the mandatory field. 

As shown in attachment files, the system still directed user to the next page although there are some blank mandatory fields. ",1,1,1
